date,FL894100005.Q,FL314100005.Q,FL714100005.Q,FL704100005.Q,FL764100005.Q,FL754100005.Q,FL744100005.Q,FL474100005.Q,FL403197033.Q,FL264100005.Q,FL894000005.Q,FL154000005.Q,FL144000005.Q,FL104000005.Q,FL114000005.Q,FL314000005.Q,FL214000005.Q,FL794000005.Q,FL714000005.Q,FL704000005.Q,FL764000005.Q,FL754000005.Q,FL743020003.Q,FL474010005.Q,FL513020005.Q,FL543020005.Q,FL574000005.Q,FL343020033.Q,FL224000045.Q,FL633030205.Q,FL404000005.Q,FL614000005.Q,FL643020073.Q,FL663020003.Q,FL733030003.Q,FL503020005.Q,FL264000005.Q,FL904000005.Q
1945:Q4,209876,7197,44715,157290,155609,401,914,366,46,628,204125,108693,36881,19892,16989,27443,4313,22023,780,18421,17980,75,182,184,661,780,81,0,69,0,91,639,0,501,0,0,4772,5751
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,201666,7785,44156,149150,147411,412,898,429,70,505,195530,120598,38063,20470,17593,4298,5367,22970,596,19118,18658,96,161,203,850,774,101,0,77,0,93,631,0,730,0,0,4234,6136
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,210124,7929,44999,155227,153338,518,861,510,98,1871,204677,124089,40155,22385,17770,5313,6267,25011,290,21166,20695,118,159,194,1032,1020,131,0,85,0,90,568,0,629,0,0,3842,5447
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
