date,FU746330005.Q,FU745013005.Q,FU744090005.Q,FU743020003.Q,FU744022003.Q,FU743061103.Q,FU743061703.Q,FU743062003.Q,FU743063005.Q,FU744023003.Q,FU743068005.Q,FU743065103.Q,FU743065505.Q,FU743093005.Q,FU744190005.Q,FU743127003.Q,FU743130003.Q,FU743193005.Q,FU747005005.Q,FU743139105.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,-16,-21,-52,-65,0,-2,15,13,0,8,5,44,-16,-16,0,0,0,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,-37,-2,-105,-96,0,2,-11,17,0,11,6,53,-37,-37,0,0,0,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,-69,-9,-60,-73,0,2,11,40,0,26,14,-40,-68,-69,0,1,1,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,-17,-8,-32,-44,0,0,12,9,0,15,-6,14,-17,-17,0,0,0,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,1,47,-5,-13,-27,0,20,-6,21,0,22,-1,44,36,47,0,-11,-12,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,24,37,-44,-42,0,5,-7,28,0,25,3,3,23,24,0,-1,-1,ND
1952:Q1,0,0,8,2,1,0,0,1,0,3,0,2,1,2,8,8,0,0,0,ND
1952:Q2,0,0,9,-1,7,7,0,0,0,1,0,0,1,2,9,9,0,0,0,ND
1952:Q3,0,0,9,-2,8,8,0,0,0,1,0,0,1,2,10,9,0,1,1,ND
1952:Q4,0,0,5,-3,5,4,0,1,0,0,0,-1,1,3,5,5,0,0,0,ND
1953:Q1,0,0,2,0,2,0,0,1,1,1,0,0,1,-1,2,2,0,0,0,ND
1953:Q2,0,0,-1,1,0,-2,0,1,1,2,0,1,1,-4,-2,-1,0,-1,-1,ND
1953:Q3,0,0,0,1,-1,-3,0,1,1,1,0,1,0,-1,0,0,0,0,0,ND
1953:Q4,0,0,1,1,-1,-3,0,1,1,0,0,0,0,1,1,1,0,0,0,ND
1954:Q1,0,0,7,0,3,2,0,1,0,0,0,0,0,4,7,7,0,0,0,ND
1954:Q2,0,0,10,-1,7,5,0,2,0,0,0,0,0,4,9,10,0,-1,-1,ND
1954:Q3,0,0,12,-1,7,5,0,2,0,0,0,0,0,6,13,12,0,1,1,ND
1954:Q4,0,0,10,-4,0,2,0,1,-3,2,0,1,1,12,10,10,0,0,0,ND
1955:Q1,0,1,9,1,-1,-2,0,1,0,7,0,4,3,2,9,9,0,0,-0,ND
1955:Q2,0,1,7,1,-5,-6,0,0,1,11,0,7,4,0,8,7,0,1,1,ND
