date,FA226330005.Q,FA225013005.Q,FA224090005.Q,FA223020043.Q,FA223030043.Q,FA223034005.Q,FA222051043.Q,FA224022045.Q,FA223069143.Q,FA223061143.Q,FA223061743.Q,FA223062043.Q,FA223063045.Q,FA223065043.Q,FA223064145.Q,FA223064205.Q,FA223090005.Q,FA223095505.Q,FA223073045.Q,FA223093005.Q,FA224190005.Q,FA224090045.Q,FA224090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,878,8,0,0,0,258,0,152,0,86,20,3,1,0,608,0,608,0,878,878,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,1094,8,0,0,0,321,0,189,0,102,30,4,2,0,759,0,759,0,1094,1094,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,1332,6,0,0,0,419,0,213,0,129,77,10,3,0,894,0,894,0,1332,1332,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,1539,10,0,0,0,502,0,184,0,183,135,17,7,0,1003,0,1003,0,1539,1539,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,1,1685,18,0,0,0,624,0,241,0,200,183,23,9,0,1011,0,1011,0,1686,1685,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,1,1854,19,0,0,0,699,0,420,0,163,116,30,12,0,1094,0,1094,0,1855,1854,0
1952:Q1,0,0,1988,20,0,0,0,964,0,608,20,156,180,32,12,0,960,0,960,0,1988,1988,0
1952:Q2,0,0,2040,20,0,0,0,708,0,312,20,172,204,36,16,0,1260,0,1260,0,2040,2040,0
1952:Q3,1,0,2093,20,0,0,0,1360,0,660,20,176,504,36,16,0,661,0,661,0,2092,2093,0
1952:Q4,1,0,2145,20,0,0,0,792,0,244,20,180,348,40,16,0,1277,0,1277,0,2144,2145,0
1953:Q1,0,1,2183,24,0,0,0,1096,0,364,8,200,524,44,16,0,1003,0,1003,0,2184,2183,0
1953:Q2,0,1,2231,36,0,0,0,1484,0,760,4,212,508,44,20,0,647,0,647,0,2232,2231,0
1953:Q3,1,1,2280,36,0,0,0,1436,0,700,4,224,508,48,20,0,740,0,740,0,2280,2280,0
1953:Q4,1,1,2328,28,0,0,0,892,0,120,4,244,524,52,20,0,1336,0,1336,0,2328,2328,0
1954:Q1,1,1,2392,16,0,0,0,1536,0,732,12,252,540,56,24,0,760,0,760,0,2392,2392,0
1954:Q2,1,1,2444,8,0,0,0,1628,0,764,12,264,588,60,24,0,724,0,724,0,2444,2444,0
1954:Q3,1,1,2496,0,0,0,0,1204,0,304,12,280,608,64,24,0,1204,0,1204,0,2496,2496,0
1954:Q4,1,1,2552,-4,0,0,0,1224,0,292,16,296,620,64,24,0,1244,0,1244,0,2552,2552,0
1955:Q1,0,1,2607,-12,0,0,0,1104,0,220,20,320,544,68,28,0,1419,0,1419,0,2608,2607,0
1955:Q2,0,1,2659,-24,0,0,0,1084,0,160,20,344,560,68,28,0,1503,0,1503,0,2660,2659,0
1955:Q3,1,1,2716,-24,0,0,0,1316,0,352,20,360,584,72,28,0,1324,0,1324,0,2716,2716,0
1955:Q4,1,1,2772,-20,0,0,0,1404,0,400,20,364,620,68,28,0,1292,0,1292,0,2772,2772,0
1956:Q1,1,1,2856,4,0,0,0,1820,0,852,8,372,588,72,32,0,928,0,928,0,2856,2856,0
1956:Q2,1,1,2920,12,0,0,0,984,0,96,8,380,500,64,32,0,1828,0,1828,0,2920,2920,0
1956:Q3,1,1,2984,20,0,0,0,932,0,104,8,392,428,76,36,0,1920,0,1920,0,2984,2984,0
1956:Q4,1,1,3052,28,0,0,0,852,0,60,12,404,376,96,36,0,2040,0,2040,0,3052,3052,0
