date,FL384090005.Q,FL313011105.Q,FL383020005.Q,FL383030005.Q,FL383030505.Q,FL383034005.Q,FL382051005.Q,FL384022005.Q,FL383069105.Q,FL383061105.Q,FL383061705.Q,FL383062005.Q,FL383063005.Q,FL384023005.Q,FL383069005.Q,FL383065005.Q,FL383066005.Q,LM103092305.Q,LM383064105.Q,LM103092105.Q,LM383094905.Q,LM383064205.Q,FL153040005.Q,FL153050005.Q,FL383070005.Q,FL383078005.Q,FL383090005.Q,FL384194005.Q,FL384190005.Q,LM313111303.Q,FL313125003.Q,FL313131003.Q,FL384122005.Q,FL103169100.Q,FL313161105.Q,FL313161705.Q,FL383162005.Q,FL103163005.Q,FL384123005.Q,FL383168005.Q,FL383169005.Q,FL383165005.Q,FL153166000.Q,LM143192305.Q,FL313140003.Q,FL383170005.Q,FL143178005.Q,FL383190005.Q,FL143181105.Q,LM103164105.Q,LM143192105.Q,LM112090205.Q
1945:Q4,817940,20083,122118,51763,3449,0,0,62192,0,47621,295,5880,8396,65042,48091,13578,3373,272,144855,6718,198013,1245,39560,61172,26311,10107,5040,769866,467559,0,4183,3014,244677,95,208239,308,12130,23905,107725,10543,54529,35853,6800,320,3593,21070,10105,72872,302307,103694,1228,197385
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,850825,20706,106619,58296,3411,0,0,52229,32,38934,227,5584,7452,71231,52457,14784,3990,271,138515,6700,235028,1298,43360,69381,29397,8718,5665,806364,473660,0,4406,3379,221076,137,183777,105,12199,24858,122888,14910,56169,42032,9777,316,4758,27212,8147,81479,332704,97302,1220,234182
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,920185,22868,108785,61925,5114,0,0,50291,129,37010,285,6223,6644,79509,58528,16081,4900,314,136405,7774,268497,1413,46510,77939,34794,11066,6981,866760,502974,0,4406,3523,216219,172,174498,68,13810,27671,140466,18612,59358,49198,13298,336,5363,30887,10333,91441,363787,95116,1291,267380
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
