date,FA893065603.Q,FA183165603.Q,FA233165605.Q,FA893065603.Q,FA153065605.Q,FA113065603.Q,FA313065605.Q,FA213065603.Q,FA763065633.Q,FA753065603.Q,FA473065603.Q,FA543065633.Q,FA223065643.Q,FA403065605.Q,FA413065605.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,137,3,134,137,125,0,-110,0,180,0,0,19,-1,-76,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,167,21,146,167,69,0,-50,0,120,0,0,100,0,-72,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,224,-11,235,224,127,0,-41,4,50,0,0,95,0,-15,4
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,291,6,285,291,79,0,-13,6,35,0,0,148,0,33,3
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,492,10,482,492,158,0,7,6,59,0,0,189,1,47,25
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,580,11,569,580,276,0,-10,7,36,0,0,200,2,58,11
1952:Q1,652,32,620,652,40,0,200,40,104,0,0,188,0,72,8
1952:Q2,828,32,796,828,324,0,36,20,132,0,0,232,4,72,8
1952:Q3,452,12,440,452,140,0,44,24,-12,0,0,156,0,88,12
1952:Q4,408,-8,416,408,112,0,40,20,-8,0,0,136,4,92,12
1953:Q1,640,44,596,640,228,0,20,20,88,0,0,184,0,92,8
1953:Q2,764,24,740,764,280,0,20,24,96,0,0,252,0,88,4
1953:Q3,320,0,320,320,76,0,24,24,-56,0,0,156,0,88,8
1953:Q4,280,-4,284,280,36,0,24,24,-32,0,0,132,0,88,8
1954:Q1,716,36,680,716,284,0,8,24,72,0,0,196,4,124,4
1954:Q2,800,32,768,800,260,0,8,24,160,0,0,216,4,124,4
1954:Q3,284,16,268,284,-60,0,44,24,40,0,0,128,-4,80,32
1954:Q4,236,8,228,236,-92,0,44,28,36,0,0,108,4,76,32
1955:Q1,904,56,848,904,552,0,-360,24,184,0,0,216,4,252,32
1955:Q2,940,56,884,940,108,0,-20,24,232,0,0,304,0,256,36
1955:Q3,636,28,608,636,116,0,-12,20,68,0,0,220,4,180,40
1955:Q4,624,-16,640,624,156,0,0,16,68,0,0,160,4,176,44
1956:Q1,1076,84,992,1076,392,0,4,12,92,0,0,252,0,280,44
1956:Q2,1192,52,1140,1192,420,0,4,8,132,0,0,296,4,284,44
1956:Q3,680,12,668,680,172,0,32,8,20,0,0,224,0,204,20
1956:Q4,304,-4,308,304,64,0,24,8,-88,0,0,60,4,208,24
1957:Q1,792,8,784,792,272,0,92,8,56,0,0,80,0,252,32
1957:Q2,792,-4,796,792,256,0,-28,4,80,0,0,180,8,256,36
1957:Q3,468,20,448,468,140,0,92,8,20,0,0,92,0,100,16
1957:Q4,196,92,104,196,-8,0,56,8,-32,0,0,60,4,96,12
1958:Q1,508,-44,552,508,168,0,4,12,112,0,0,60,4,140,8
1958:Q2,920,32,888,920,384,0,56,12,180,0,0,128,12,140,8
1958:Q3,812,76,736,812,332,0,56,12,84,0,0,100,4,200,24
1958:Q4,608,92,516,608,208,0,76,12,40,0,0,44,0,200,28
1959:Q1,992,60,932,992,312,0,60,12,136,0,0,100,8,344,20
1959:Q2,1548,92,1456,1548,592,0,52,8,260,0,0,256,8,348,24
1959:Q3,816,60,756,816,304,0,72,8,60,0,0,160,8,200,4
1959:Q4,612,12,600,612,232,0,20,12,12,0,0,124,8,200,4
