date,FL704090005.Q,FL704010005.Q,FL703025005.Q,FL403197033.Q,FL702050005.Q,LM704022005.Q,FL703069175.Q,LM703061105.Q,LM703061705.Q,LM703062005.Q,LM703063005.Q,FL704023005.Q,FL703068005.Q,FL703069005.Q,FL703065005.Q,FL703066005.Q,LM763092305.Q,LM703064105.Q,LM763092100.Q,FL703094905.Q,LM703064205.Q,FL763040005.Q,FL703090005.Q,FL704194005.Q,FL704190005.Q,FL704110005.Q,FL703127005.Q,FL703130005.Q,FL702150005.Q,FL704122005.Q,FL703169175.Q,FL763163005.Q,FL703169005.Q,LM753192305.Q,FL763178000.Q,FL703190005.Q,FL763194705.Q,FL703193005.Q,FL703181105.Q,LM763164105.Q,LM753192103.Q,FL763194603.Q,FL753194503.Q,FL763066303.Q,FL703139105.Q
1945:Q4,168831,16506,1869,46,3,113361,223,104606,886,4090,3556,31591,14454,154,14466,2517,1,167,22,249,0,0,5016,160609,158658,1216,102573,53501,18,156,156,0,205,36,338,615,0,615,1951,1811,140,0,0,0,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,162316,17002,2046,70,7,98934,329,89339,1046,4489,3731,41043,17656,227,18867,4293,1,181,25,271,0,0,2736,153567,151093,381,88733,60036,23,229,229,0,301,37,354,999,0,999,2474,2333,141,0,0,0,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,169291,18852,2216,98,88,94498,398,83598,1067,5383,4052,50681,21186,261,23195,6039,1,147,28,297,0,0,2385,160397,157363,671,90925,63631,25,264,264,0,432,37,244,1134,0,1134,3034,2890,144,0,0,0,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,172431,21505,1978,133,93,88546,340,76192,2049,5779,4186,57662,23004,259,27080,7319,1,158,31,318,0,0,2006,162498,159909,717,90280,66174,19,262,262,0,509,38,292,1618,0,1618,2589,2444,145,0,0,0,ND
