date,FU893130505.Q,FU313131003.Q,FU403197033.Q,FU263130505.Q,FU893030505.Q,FU153030505.Q,FU103091003.Q,FU313030505.Q,FU713011405.Q,FU403197033.Q,FU633091003.Q,FU733091003.Q,FU903091005.Q,FU263111403.Q,FU313011405.Q,FU713011405.Q,FU313131003.Q,FU313131003.Q,FU403197033.Q,FU403197033.Q,FU263191005.Q,FU153091003.Q,FU103091003.Q,FU313091005.Q,FU633091003.Q,FU733091003.Q,FU903091005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-14,365,24,-403,-14,365,35,-438,-0,24,0,0,0,-248,-248,-0,365,365,24,24,-155,0,35,-190,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1452,144,28,1280,1452,144,-17,1576,-279,28,0,0,0,1185,1464,-279,144,144,28,28,95,0,-17,112,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,181,-81,35,227,181,-81,-41,270,-2,35,0,0,0,356,358,-2,-81,-81,35,35,-129,0,-41,-88,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,336,-140,134,342,336,-140,0,341,1,134,0,0,0,169,168,1,-140,-140,134,134,173,0,0,173,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-244,-267,-43,66,-244,-267,47,-227,246,-43,0,0,0,-16,-262,246,-267,-267,-43,-43,82,0,47,35,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-168,-222,37,17,-168,-222,34,-23,6,37,0,0,0,-20,-26,6,-222,-222,37,37,37,0,34,3,0,0,0
1952:Q1,75,-36,84,27,75,-36,-7,37,-3,84,0,0,0,40,43,-3,-36,-36,84,84,-13,0,-7,-6,0,0,0
1952:Q2,5,-49,62,-8,5,-49,18,-27,1,62,0,0,0,-20,-21,1,-49,-49,62,62,12,0,18,-6,0,0,0
1952:Q3,-82,-48,-27,-7,-82,-48,-4,-2,-1,-27,0,0,0,10,11,-1,-48,-48,-27,-27,-17,0,-4,-13,0,0,0
1952:Q4,10,-24,40,-6,10,-24,-23,16,1,40,0,0,0,6,5,1,-24,-24,40,40,-12,0,-23,11,0,0,0
1953:Q1,47,-38,49,36,47,-38,27,11,-2,49,0,0,0,-2,0,-2,-38,-38,49,49,38,0,27,11,0,0,0
1953:Q2,-107,-51,36,-92,-107,-51,-28,-66,2,36,0,0,0,-42,-44,2,-51,-51,36,36,-50,0,-28,-22,0,0,0
1953:Q3,-54,-58,-24,28,-54,-58,11,17,-0,-24,0,0,0,21,21,-0,-58,-58,-24,-24,7,0,11,-4,0,0,0
1953:Q4,-8,-44,77,-41,-8,-44,29,-57,-13,77,0,0,0,-72,-59,-13,-44,-44,77,77,31,0,29,2,0,0,0
1954:Q1,63,-50,181,-68,63,-50,1,-76,7,181,0,0,0,-44,-51,7,-50,-50,181,181,-24,0,1,-25,0,0,0
1954:Q2,72,-60,80,52,72,-60,13,39,-0,80,0,0,0,-20,-20,-0,-60,-60,80,80,72,0,13,59,0,0,0
1954:Q3,-136,-51,-46,-39,-136,-51,22,-61,-0,-46,0,0,0,-128,-128,-0,-51,-51,-46,-46,89,0,22,67,0,0,0
1954:Q4,-8,-65,29,28,-8,-65,8,21,-1,29,0,0,0,10,11,-1,-65,-65,29,29,18,0,8,10,0,0,0
1955:Q1,65,-39,57,47,65,-39,-11,57,1,57,0,0,0,-44,-45,1,-39,-39,57,57,91,0,-11,102,0,0,0
1955:Q2,-38,-93,-4,59,-38,-93,-20,105,-26,-4,0,0,0,-20,6,-26,-93,-93,-4,-4,79,0,-20,99,0,0,0
1955:Q3,-238,-110,-186,58,-238,-110,-4,29,33,-186,0,0,0,-13,-46,33,-110,-110,-186,-186,71,0,-4,75,0,0,0
1955:Q4,25,-13,29,9,25,-13,6,35,-32,29,0,0,0,-64,-32,-32,-13,-13,29,29,73,0,6,67,0,0,0
1956:Q1,62,-91,73,80,62,-91,-34,83,31,73,0,0,0,4,-27,31,-91,-91,73,73,76,0,-34,110,0,0,0
1956:Q2,31,-35,-32,98,31,-35,46,50,2,-32,0,0,0,-69,-71,2,-35,-35,-32,-32,167,0,46,121,0,0,0
1956:Q3,90,-66,-80,236,90,-66,-22,261,-3,-80,0,0,0,73,76,-3,-66,-66,-80,-80,163,0,-22,185,0,0,0
1956:Q4,694,-52,24,722,694,-52,19,731,-28,24,0,0,0,556,584,-28,-52,-52,24,24,166,0,19,147,0,0,0
1957:Q1,236,-47,-14,297,236,-47,60,208,29,-14,0,0,0,-20,-49,29,-47,-47,-14,-14,317,0,60,257,0,0,0
1957:Q2,260,-101,27,334,260,-101,-22,359,-3,27,0,0,0,61,64,-3,-101,-101,27,27,273,0,-22,295,0,0,0
1957:Q3,110,-102,-147,359,110,-102,-23,372,10,-147,0,0,0,249,239,10,-102,-102,-147,-147,110,0,-23,133,0,0,0
1957:Q4,21,-77,104,-6,21,-77,-22,22,-6,104,0,0,0,77,83,-6,-77,-77,104,104,-83,0,-22,-61,0,0,0
1958:Q1,513,-25,321,217,513,-25,29,198,-10,321,0,0,0,67,77,-10,-25,-25,321,321,150,0,29,121,0,0,0
1958:Q2,244,-100,144,200,244,-100,-28,236,-8,144,0,0,0,42,50,-8,-100,-100,144,144,158,0,-28,186,0,0,0
1958:Q3,-167,-1,-259,93,-167,-1,40,98,-45,-259,0,0,0,-53,-8,-45,-1,-1,-259,-259,146,0,40,106,0,0,0
1958:Q4,-277,-67,-40,-170,-277,-67,-23,-204,57,-40,0,0,0,-73,-130,57,-67,-67,-40,-40,-97,0,-23,-74,0,0,0
1959:Q1,-232,-34,-83,-115,-232,-34,-6,-110,1,-83,0,0,0,-165,-166,1,-34,-34,-83,-83,50,0,-6,56,0,0,0
1959:Q2,422,-59,40,441,422,-59,-6,447,-0,40,0,0,0,318,318,-0,-59,-59,40,40,123,0,-6,129,0,0,0
1959:Q3,-448,-52,-206,-190,-448,-52,8,-59,-139,-206,0,0,0,-26,113,-139,-52,-52,-206,-206,-164,0,8,-172,0,0,0
1959:Q4,-127,-44,19,-102,-127,-44,-13,-200,111,19,0,0,0,-88,-199,111,-44,-44,19,19,-14,0,-13,-1,0,0,0
1960:Q1,-90,-56,-55,21,-90,-56,-11,26,6,-55,0,0,0,-109,-115,6,-56,-56,-55,-55,130,0,-11,141,0,0,0
1960:Q2,232,-58,202,88,232,-58,19,93,-24,202,0,0,0,-81,-57,-24,-58,-58,202,202,169,0,19,150,0,0,0
1960:Q3,1,-44,1,44,1,-44,51,19,-26,1,0,0,0,-102,-76,-26,-44,-44,1,1,146,0,51,95,0,0,0
1960:Q4,108,-29,201,-64,108,-29,-56,-13,5,201,0,0,0,-150,-155,5,-29,-29,201,201,86,0,-56,142,0,0,0
1961:Q1,140,-41,88,93,140,-41,41,10,42,88,0,0,0,-25,-67,42,-41,-41,88,88,118,0,41,77,0,0,0
1961:Q2,215,-29,128,116,215,-29,24,143,-51,128,0,0,0,-11,40,-51,-29,-29,128,128,127,0,24,103,0,0,0
1961:Q3,359,-31,-132,522,359,-31,25,456,41,-132,0,0,0,483,442,41,-31,-31,-132,-132,39,0,25,14,0,0,0
1961:Q4,-112,-23,158,-247,-112,-23,-2,-267,22,158,0,0,0,-312,-334,22,-23,-23,158,158,65,0,-2,67,0,0,0
1962:Q1,-305,-43,-71,-191,-305,-43,-2,-187,-2,-71,0,0,0,-237,-235,-2,-43,-43,-71,-71,46,0,-2,48,0,0,0
1962:Q2,194,-29,84,139,194,-29,32,107,-0,84,0,0,0,-44,-44,-0,-29,-29,84,84,183,0,32,151,0,0,0
1962:Q3,-512,-28,-209,-275,-512,-28,-19,-260,4,-209,0,0,0,-331,-335,4,-28,-28,-209,-209,56,0,-19,75,0,0,0
1962:Q4,31,-19,229,-179,31,-19,-136,-40,-3,229,0,0,0,-14,-11,-3,-19,-19,229,229,-165,0,-136,-29,0,0,0
1963:Q1,178,-26,70,134,178,-26,38,97,-1,70,0,0,0,46,47,-1,-26,-26,70,70,88,0,38,50,0,0,0
1963:Q2,404,-24,42,386,404,-24,121,309,-44,42,0,0,0,-1,43,-44,-24,-24,42,42,387,0,121,266,0,0,0
1963:Q3,-432,-28,-311,-93,-432,-28,-65,-74,46,-311,0,0,0,-59,-105,46,-28,-28,-311,-311,-34,0,-65,31,0,0,0
1963:Q4,-96,-15,137,-218,-96,-15,-303,90,-5,137,0,0,0,-15,-10,-5,-15,-15,137,137,-203,0,-303,100,0,0,0
1964:Q1,-254,-17,-174,-63,-254,-17,136,-203,4,-174,0,0,0,-131,-135,4,-17,-17,-174,-174,68,0,136,-68,0,0,0
1964:Q2,59,-18,176,-99,59,-18,92,-192,1,176,0,0,0,-118,-119,1,-18,-18,176,176,19,0,92,-73,0,0,0
1964:Q3,-283,-18,-164,-101,-283,-18,56,-158,1,-164,0,0,0,-135,-136,1,-18,-18,-164,-164,34,0,56,-22,0,0,0
1964:Q4,310,-19,210,119,310,-19,-181,299,1,210,0,0,0,118,117,1,-19,-19,210,210,1,0,-181,182,0,0,0
1965:Q1,-449,-25,-151,-273,-449,-25,-64,-206,-3,-151,0,0,0,-68,-65,-3,-25,-25,-151,-151,-205,0,-64,-141,0,0,0
1965:Q2,453,-23,127,349,453,-23,-211,559,1,127,0,0,0,466,465,1,-23,-23,127,127,-117,0,-211,94,0,0,0
1965:Q3,-394,-17,-231,-146,-394,-17,70,-213,-3,-231,0,0,0,-330,-327,-3,-17,-17,-231,-231,184,0,70,114,0,0,0
1965:Q4,-50,-19,101,-132,-50,-19,-107,-26,1,101,0,0,0,26,25,1,-19,-19,101,101,-158,0,-107,-51,0,0,0
1966:Q1,-363,-20,-221,-122,-363,-20,103,-215,-10,-221,0,0,0,-134,-124,-10,-20,-20,-221,-221,12,0,103,-91,0,0,0
1966:Q2,186,-116,201,101,186,-116,33,69,-1,201,0,0,0,-22,-21,-1,-116,-116,201,201,123,0,33,90,0,0,0
1966:Q3,-534,-52,-290,-192,-534,-52,15,-215,8,-290,0,0,0,-335,-343,8,-52,-52,-290,-290,143,0,15,128,0,0,0
1966:Q4,318,-29,302,45,318,-29,-47,97,-5,302,0,0,0,-46,-41,-5,-29,-29,302,302,91,0,-47,138,0,0,0
1967:Q1,74,-36,454,-344,74,-36,66,-407,-3,454,0,0,0,31,34,-3,-36,-36,454,454,-375,0,66,-441,0,0,0
1967:Q2,448,-16,435,29,448,-16,-108,136,1,435,0,0,0,10,9,1,-16,-16,435,435,19,0,-108,127,0,0,0
1967:Q3,-698,-39,-608,-51,-698,-39,-16,-36,1,-608,0,0,0,5,4,1,-39,-39,-608,-608,-56,0,-16,-40,0,0,0
1967:Q4,429,-19,114,334,429,-19,142,194,-2,114,0,0,0,48,50,-2,-19,-19,114,114,286,0,142,144,0,0,0
1968:Q1,100,0,-129,229,100,0,302,-76,3,-129,0,0,0,57,54,3,0,0,-129,-129,172,0,302,-130,0,0,0
1968:Q2,1017,0,97,920,1017,0,392,532,-4,97,0,0,0,426,430,-4,0,0,97,97,494,0,392,102,0,0,0
1968:Q3,-42,0,-147,105,-42,0,83,23,-1,-147,0,0,0,23,24,-1,0,0,-147,-147,82,0,83,-1,0,0,0
1968:Q4,215,0,130,85,215,0,-245,326,4,130,0,0,0,364,360,4,0,0,130,130,-279,0,-245,-34,0,0,0
