date,FL893065405.Q,FL103165405.Q,FL113165405.Q,FL313165403.Q,FL893065405.Q,FL153065403.Q,FL103065405.Q,FL113065403.Q,FL313065405.Q,FL213065403.Q,FL763065405.Q,FL753065403.Q,FL473065403.Q,FL543065405.Q,FL573065403.Q,FL223065443.Q,FL403065405.Q,FL413065405.Q,FL673065405.Q,FL613065403.Q,FL643065473.Q
1945:Q4,4922,246,4676,0,4922,1393,0,0,8,0,2105,0,0,1400,0,6,0,0,0,10,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,5270,264,5007,0,5270,1505,0,0,6,0,2251,0,0,1470,7,7,0,0,0,24,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5787,289,5498,0,5787,1712,0,0,6,0,2444,0,0,1573,13,9,0,0,0,30,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,6662,333,6329,0,6662,1961,0,0,8,0,2788,0,0,1846,19,12,0,0,0,28,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,7829,391,7438,0,7829,2287,0,0,28,0,3136,0,0,2296,25,18,0,0,0,39,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,9301,465,8836,0,9301,2605,0,0,40,0,3921,0,0,2615,31,26,0,0,0,63,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,10642,532,10110,0,10642,2865,0,0,60,0,4564,0,0,3031,37,36,0,0,0,49,0
1952:Q1,10820,541,10279,0,10820,2983,0,0,65,0,4519,0,0,3111,38,39,0,0,0,65,0
1952:Q2,11037,552,10485,0,11037,3050,0,0,68,0,4597,0,0,3170,40,42,0,0,0,70,0
1952:Q3,11275,564,10711,0,11275,3111,0,0,75,0,4693,0,0,3231,43,45,0,0,0,77,0
1952:Q4,11481,574,10907,0,11481,3175,0,0,74,0,4771,0,0,3288,45,48,0,0,0,80,0
1953:Q1,11587,579,11008,0,11587,3228,0,0,96,0,4795,0,0,3305,48,52,0,0,0,63,0
1953:Q2,11766,588,11178,0,11766,3280,0,0,120,0,4868,0,0,3320,51,56,0,0,0,71,0
1953:Q3,11934,597,11337,0,11934,3326,0,0,159,0,4919,0,0,3332,54,59,0,0,0,85,0
1953:Q4,12121,606,11515,0,12121,3403,0,0,184,0,4971,0,0,3363,57,64,0,0,0,79,0
1954:Q1,12174,609,11565,0,12174,3466,0,0,158,0,4972,0,0,3369,60,68,0,0,0,81,0
1954:Q2,12312,616,11696,0,12312,3535,0,0,183,0,4999,0,0,3376,62,73,0,0,0,84,0
1954:Q3,12452,623,11829,0,12452,3590,0,0,251,0,4990,0,0,3385,65,78,0,0,0,93,0
1954:Q4,12665,633,12032,0,12665,3688,0,0,268,0,5054,0,0,3404,69,83,0,0,0,99,0
1955:Q1,12782,639,12143,0,12782,3776,0,0,295,0,5005,0,0,3436,73,88,0,0,0,109,0
1955:Q2,12989,649,12340,0,12989,3859,0,0,325,0,5053,0,0,3456,78,93,0,0,0,125,0
1955:Q3,13179,659,12520,0,13179,3940,0,0,337,0,5091,0,0,3480,83,98,0,0,0,150,0
1955:Q4,13490,675,12816,0,13490,4055,0,0,383,0,5157,0,0,3552,90,103,0,0,0,150,0
1956:Q1,13657,683,12974,0,13657,4149,0,0,398,0,5184,0,0,3579,98,109,1,0,0,139,0
1956:Q2,13827,691,13136,0,13827,4261,0,0,413,0,5195,0,0,3603,106,113,1,0,0,135,0
1956:Q3,13972,699,13273,0,13972,4361,0,0,417,0,5209,0,0,3610,115,119,0,0,0,141,0
