date,FU546000105.Q,FU545013005.Q,FU544090005.Q,FU543020005.Q,FU543034005.Q,FU542051075.Q,FU544022005.Q,FU543069105.Q,FU543061105.Q,FU543061705.Q,FU543062005.Q,FU543063005.Q,FU544023005.Q,FU543069005.Q,FU543065005.Q,FU543092375.Q,FU543064105.Q,FU543092173.Q,FU543092473.Q,FU543064205.Q,FU543040005.Q,FU543050005.Q,FU543070005.Q,FU543090005.Q,FU543094703.Q,FU543077073.Q,FU543095105.Q,FU543093005.Q,FU544194005.Q,FU544190005.Q,FU542151073.Q,FU543169373.Q,FU543192375.Q,FU543140005.Q,FU543150005.Q,FU543170005.Q,FU543178075.Q,FU543190005.Q,FU543194703.Q,FU673090543.Q,FU543195005.Q,FU593095005.Q,FU543193005.Q,FU543181105.Q,FU543164175.Q,FU543192173.Q,FU543194603.Q,FU547005005.Q,FU543200073.Q,FU543176015.Q,FU543176025.Q,FU543076035.Q,FU543176035.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,355,27,3531,-6,0,0,2743,0,1046,0,-108,1805,451,-68,519,-3,267,7,0,0,0,0,0,72,0,65,0,7,3332,3331,0,0,0,2635,400,0,-4,300,0,0,216,0,84,1,0,1,0,129,0,3055,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,195,34,3449,246,0,0,1420,0,-1595,0,-5,3020,1563,43,1520,5,150,-1,0,0,0,0,0,66,0,81,0,-15,3413,3420,0,0,8,2545,500,0,-20,387,0,0,116,0,271,-7,0,-7,0,125,0,3070,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,359,40,3626,-105,0,0,1268,0,-3228,0,263,4233,2278,120,2158,6,44,-2,0,0,0,0,0,137,0,51,0,86,3485,3496,0,0,13,2630,600,0,0,253,0,0,194,0,59,-11,0,-11,0,178,0,3276,0,0,0
