date,FL364090005.Q,FL313011105.Q,FL363020005.Q,FL363030005.Q,FL213034003.Q,FL362051005.Q,FL364022005.Q,FL213069103.Q,FL213061103.Q,FL363061705.Q,FL213062003.Q,FL363063005.Q,FL364023005.Q,FL363065005.Q,FL313066220.Q,FL363069005.Q,LM363064105.Q,FL313081115.Q,LM213064203.Q,FL363070005.Q,FL363078005.Q,FL213093003.Q,FL364190005.Q,LM313111303.Q,FL313125003.Q,FL313131003.Q,FL364122005.Q,FL313161105.Q,FL313161705.Q,FL213162005.Q,FL364123005.Q,FL313165403.Q,FL363169005.Q,FL313140003.Q,FL363170005.Q,FL363190005.Q,FL374090005.Q,FL374190005.Q
1945:Q4,77701,20083,30721,633,0,0,7524,0,5531,234,1759,0,5846,1384,0,4462,0,443,0,1942,10107,0,335052,0,4183,3014,220677,208239,308,12130,46343,0,46343,3593,3311,53931,69906,327257
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,56457,20706,8873,828,0,0,6767,0,5179,134,1454,0,8636,1063,0,7573,0,700,0,1265,8718,0,317760,0,4406,3379,196081,183777,105,12199,47908,0,47908,4758,1444,59784,49340,310643
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,67950,22868,9062,978,0,0,7442,0,5890,137,1415,0,12627,995,0,11632,0,991,0,1376,11066,0,320140,0,4406,3523,188376,174498,68,13810,50835,0,50835,5363,646,66991,60142,312332
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,74634,24399,10746,1255,0,0,8046,0,6277,334,1435,0,14044,1095,0,12949,0,994,0,1462,11878,0,323558,0,4433,3442,182400,166341,915,15144,53329,0,53329,5576,789,73589,66349,315273
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,74935,24563,11331,1472,0,0,8425,0,6343,334,1748,0,14982,1293,0,13689,0,970,0,1427,9614,0,333519,0,4442,3302,184500,167366,1004,16130,55747,0,55747,5660,950,78918,66356,324940
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,83226,22820,11562,1581,0,0,9118,0,6852,234,2032,0,15989,1912,0,14077,0,930,0,2287,17015,0,343214,0,4480,3035,187594,166557,382,20655,56850,0,56850,5969,2164,83122,73787,333775
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,92297,22872,12095,1821,0,0,9832,0,7332,439,2061,0,17376,2609,0,14767,0,874,0,3425,22101,0,354729,0,4553,2813,189742,166727,245,22770,57350,0,57350,6142,3850,90279,82088,344520
1952:Q1,98088,23428,15618,1927,0,80,10141,0,7680,368,2093,0,17844,2900,0,14944,0,874,0,3657,22550,31,358417,0,4575,2777,190584,165360,208,25016,57404,0,57404,6157,3771,93149,87544,347873
1952:Q2,99619,23533,15627,1948,0,167,10808,0,8140,563,2105,0,18180,2962,0,15218,0,874,0,3964,22479,128,363008,0,4598,2728,192564,165031,53,27480,57792,0,57792,6177,3797,95352,88530,351919
1952:Q3,88186,23526,15291,1949,0,679,10957,0,8218,626,2113,0,18635,3055,0,15580,0,874,0,4292,9830,244,370056,0,4625,2680,196959,167863,401,28695,58369,0,58369,6185,4017,97221,76875,358745
1952:Q4,90889,23252,14789,1979,0,247,11251,0,8538,602,2111,0,19054,3272,0,15782,0,874,0,4450,12707,361,377929,0,4656,2656,201902,171619,626,29657,58722,0,58722,6185,4415,99393,79102,366142
1953:Q1,93873,22649,15630,2003,0,256,11532,0,8826,592,2114,0,19425,3481,0,15944,0,874,0,4746,14577,245,378253,0,4670,2618,200140,168191,728,31221,58905,0,58905,6193,4651,101076,82020,366400
